type,title,link,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 39/2018,"Regime da prevenção e controlo das emissões de poluentes para o ar, e transpõe a Diretiva (UE) 2015/2193",https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2018-115487895,,,,,,,,,,,,,,,,,,
Portaria n.º 190-B/2018,"Estabelece os valores limite de emissão (VLE) de aplicação setorial, os VLE aplicáveis a outras fontes não abrangidas por VLE de aplicação setorial, a metodologia de cálculo de VLE e teor de oxigénio aplicável à junção de efluentes e os VLE aplicáveis à queima simultânea de dois ou mais combustíveis",https://diariodarepublica.pt/dr/detalhe/portaria/190-b-2018-115631554,,,,,,,,,,,,,,,,,,
Portaria n.º 221/2018,"Estabelece a forma de transmissão e o conteúdo da informação relativa ao autocontrolo da monitorização em contínuo e pontual das emissões de poluentes para o ar, bem como a informação a reportar anualmente",https://diariodarepublica.pt/dr/detalhe/portaria/221-2018-115845096,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 127/2013,"Regime de emissões industriais aplicável à prevenção e ao controlo integrados da poluição e regras destinadas a evitar e ou reduzir as emissões para o ar, a água e o solo e a produção de resíduos",https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2013-34581375,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 181/2006,"Estabelece o regime de limitação das emissões de compostos orgânicos voláteis (COV) resultantes da utilização de solventes orgânicos em determinadas tintas e vernizes e em produtos de retoque de veículos, transpondo para a ordem jurídica interna a Directiva n.º 2004/42/CE, do Parlamento Europeu e do Conselho, de 21 de Abril",https://diariodarepublica.pt/dr/detalhe/decreto-lei/181-2006-539980,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 146/2006,Avaliação e gestão do ruído ambiente,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2006-124539959,,,,,,,,,,,,,,,,,,
Portaria n.º 42/2023,Regime de avaliação e gestão do ruído ambiente,https://diariodarepublica.pt/dr/detalhe/portaria/42-2023-207229678,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 84/2018,Compromissos nacionais de redução das emissões de certos poluentes atmosféricos,https://diariodarepublica.pt/dr/detalhe/decreto-lei/84-2018-116747964,,,,,,,,,,,,,,,,,,
Portaria nº 280/2023,Captação de águas subterrâneas,https://diariodarepublica.pt/dr/detalhe/portaria/280-2023-221516383,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 152/97,Tratamento de águas residuais urbanas,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1997-75044039,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 102-D/2020,"Regime geral da gestão de resíduos, Regime jurídico da deposição de resíduos em aterro e alteração ao regime da gestão de fluxos específicos de resíduos",https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2020-150908020,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 187/2006,Condições e procedimentos de segurança no âmbito dos sistemas de gestão de resíduos de embalagens e de resíduos de excedentes de produtos fitofarmacêuticos,https://diariodarepublica.pt/dr/detalhe/decreto-lei/187-2006-541635,,,,,,,,,,,,,,,,,,
Lei n.º 26/2013,"Atividades de distribuição, venda e aplicação de produtos fitofarmacêuticos para uso profissional e de adjuvantes de produtos fitofarmacêuticos e define os procedimentos de monitorização à utilização dos produtos fitofarmacêuticos",https://diariodarepublica.pt/dr/legislacao-consolidada/lei/2013-126731052,,,,,,,,,,,,,,,,,,
Portaria n.º 345/2015,Lista de resíduos com potencial de reciclagem e ou valorização,https://diariodarepublica.pt/dr/detalhe/portaria/345-2015-70508973,,,,,,,,,,,,,,,,,,
Portaria n.º 399/2015,"Elementos que devem instruir os procedimentos ambientais previstos no regime de Licenciamento Único de Ambiente, para atividades industriais ou similares a industriais, nomeadamente, operações de gestão de resíduos e centrais termoelétricas, exceto centrais solares",https://diariodarepublica.pt/dr/detalhe/portaria/399-2015-70920289,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 41-A/2010,"Regula o transporte terrestre, rodoviário e ferroviário, de mercadorias perigosas",https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2010-70916272,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 206-A/2012,"Transporte terrestre, rodoviário e ferroviário, de mercadorias perigosas",https://diariodarepublica.pt/dr/detalhe/decreto-lei/206-a-2012-138983,,,,,,,,,,,,,,,,,,
Despacho n.º 1547/2022,"Determina os procedimentos técnicos para a realização do Programa de Monitorização
 e Tratamento da Qualidade da Água.",https://diariodarepublica.pt/dr/detalhe/despacho/1547-2022-178809170,,,,,,,,,,,,,,,,,,
Lei n. 52/2018,Estabelece o regime de prevenção e controlo da doença dos legionários,https://diariodarepublica.pt/dr/legislacao-consolidada/lei/2018-116125843,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 220/2012,"Assegura a execução na ordem jurídica interna das obrigações decorrentes do Regulamento (CE) n.º 1272/2008, do Parlamento Europeu e do Conselho, de 16 de dezembro, relativo à classificação, rotulagem e embalagem de substâncias e misturas, que altera e revoga as Diretivas n.os 67/548/CEE e 1999/45/CE e altera o Regulamento (CE) n.º 1907/2006",https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2012-155903178,,,,,,,,,,,,,,,,,,
Portaria n.º 145/2017,"Regras aplicáveis ao transporte rodoviário, ferroviário, fluvial, marítimo e aéreo de resíduos em território nacional e cria as guias eletrónicas de acompanhamento de resíduos (e-GAR), a emitir no Sistema Integrado de Registo Eletrónico de Resíduos (SIRER)",https://diariodarepublica.pt/dr/legislacao-consolidada/portaria/2017-108332779,,,,,,,,,,,,,,,,,,
